date,home,region,city
2012-11-01,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-02,"Skopje, MK",Serbia,"Belgrade, Serbia"
2012-11-03,"Skopje, MK",Serbia,"Belgrade, Serbia"
2012-11-04,"Skopje, MK",Serbia,"Belgrade, Serbia"
2012-11-05,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-06,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-07,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-08,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-09,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-10,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-11,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-12,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-13,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-14,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-15,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-16,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-17,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-18,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-19,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-20,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-21,"Skopje, MK",Turkey,"Istanbul, Turkey"
2012-11-22,"Skopje, MK",Turkey,"Istanbul, Turkey"
2012-11-23,"Skopje, MK",Turkey,"Istanbul, Turkey"
2012-11-24,"Skopje, MK",Turkey,"Istanbul, Turkey"
2012-11-25,"Skopje, MK",Turkey,"Istanbul, Turkey"
2012-11-26,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-27,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-28,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-29,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-11-30,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-01,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-02,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-12-03,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
